games_idx,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V Runs Allowed,H Runs Allowed,Home Wins?,Prediction Correct?
5319,20120509,NYN,NL,PHI,NL,10,6,gee-d001,lee-c003,False,4,-4,5.8,1.8,True,False
5320,20120509,WAS,NL,PIT,NL,2,4,detwr001,bedae001,True,-2,2,2.6,4.0,False,False
5321,20120509,COL,NL,SDN,NL,6,2,friec001,bassa001,False,4,-4,999.0,999.0,True,False
5322,20120510,TEX,AL,BAL,AL,5,6,lewic001,chenw001,True,-1,1,3.6,999.0,False,False
5323,20120510,TEX,AL,BAL,AL,7,3,holld003,huntt002,False,4,-4,2.4,2.2,True,False
5324,20120510,CLE,AL,BOS,AL,8,3,lowed001,beckj002,False,5,-5,4.8,4.4,True,False
5325,20120510,TOR,AL,MIN,AL,6,2,alvah001,marqj001,False,4,-4,1.8,4.8,False,True
5326,20120510,TBA,AL,NYA,AL,3,5,pricd001,sabac001,True,-2,2,5.0,3.2,True,True
5327,20120510,DET,AL,OAK,AL,10,6,schem001,colob001,False,4,-4,4.6,6.4,False,True
5328,20120510,WAS,NL,PIT,NL,4,2,stras001,corrk001,False,2,-2,1.4,7.8,False,True
5329,20120511,TBA,AL,BAL,AL,3,4,hellj001,eveld001,True,-1,1,5.0,6.4,False,False
5330,20120511,CLE,AL,BOS,AL,5,7,jimeu001,buchc001,True,-2,2,7.4,6.4,True,True
5331,20120511,KCA,AL,CHA,AL,0,5,paulf001,floyg001,True,-5,5,4.2,2.8,True,True
5332,20120511,TOR,AL,MIN,AL,6,7,drabk001,blacn001,True,-1,1,3.8,5.4,False,False
5333,20120511,SEA,AL,NYA,AL,2,6,hernf002,kuroh001,True,-4,4,3.8,2.2,True,True
5334,20120511,DET,AL,OAK,AL,4,11,porcr001,milot001,True,-7,7,2.6,999.0,False,False
5335,20120511,ANA,AL,TEX,AL,3,10,wilsc004,darvy001,True,-7,7,2.0,999.0,False,False
5336,20120511,SFN,NL,ARI,NL,1,5,bumgm001,corbp001,True,-4,4,3.6,999.0,False,False
5337,20120511,WAS,NL,CIN,NL,7,3,gonzg003,leakm001,False,4,-4,1.6,3.8,False,True
5338,20120511,COL,NL,LAN,NL,3,7,moyej001,capuc001,True,-4,4,6.6,2.8,True,True
